amount,date,bank,sbank,,,,,
25000000,20160311,中国工商银行,工行,,,,,
250000,20160311,中国民生银行,民生,,,,,
55000000,20160311,中国工商银行,工行,,,,,
12000000,20160311,平安银行,平安,,,,,
73895000,20160311,其他银行,其它,,,,,
2500000,20160311,招商银行,招商,,,,,
28000000,20160311,中国工商银行,工行,,,,,
200000,20160311,招商银行,招商,,,,,
1000000,20160311,中国建设银行,建行,,,,,
4300,20160311,中国银行,中行,,,,,
1000,20160314,招商银行,招商,,,,,
40000,20160314,招商银行,招商,,,,,
78000000,20160314,中国民生银行,民生,,,,,
500000,20160314,招商银行,招商,,,,,
500000,20160314,招商银行,招商,,,,,
500000,20160314,招商银行,招商,,,,,
500000,20160314,招商银行,招商,,,,,
500000,20160314,招商银行,招商,,,,,
500000,20160314,招商银行,招商,,,,,
500000,20160314,招商银行,招商,,,,,
500000,20160314,招商银行,招商,,,,,
500000,20160314,招商银行,招商,,,,,
500000,20160314,招商银行,招商,,,,,
500000,20160314,招商银行,招商,,,,,
500000,20160314,招商银行,招商,,,,,
20000,20160314,中国农业银行,农行,,,,,
100000000,20160314,中国民生银行,民生,,,,,
10000000,20160314,中国工商银行,工行,,,,,
1500000,20160314,中国民生银行,民生,,,,,
1400000,20160314,招商银行,招商,,,,,
1000000,20160314,招商银行,招商,,,,,
1000000,20160314,招商银行,招商,,,,,
400000,20160315,中国农业银行,农行,,,,,
50000,20160315,中国工商银行,工行,,,,,
500000000,20160315,平安银行,平安,,,,,
1300000,20160315,中国工商银行,工行,,,,,
2000000,20160315,招商银行,招商,,,,,
150000000,20160315,平安银行,平安,,,,,
257767000,20160315,其他银行,其它,,,,,
13028706.2,20160315,招商银行,招商,,,,,
26000,20160315,交通银行,交行,,,,,
2000000,20160315,中国民生银行,民生,,,,,
7371000,20160315,平安银行,平安,,,,,
4844736.84,20160315,其他银行,其它,,,,,
5000000,20160315,其他银行,其它,,,,,
5000000,20160315,其他银行,其它,,,,,
110000,20160316,招商银行,招商,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
500000,20160316,中国工商银行,工行,,,,,
50000,20160316,中国农业银行,农行,,,,,
3000000,20160316,上海浦东发展银行,浦发,,,,,
180000000,20160316,平安银行,平安,,,,,
170000000,20160316,上海浦东发展银行,浦发,,,,,
290000000,20160316,上海浦东发展银行,浦发,,,,,
133406.5,20160316,其他银行,其它,,,,,
500000,20160316,招商银行,招商,,,,,
900000,20160316,交通银行,交行,,,,,
8500000,20160316,中国银行,中行,,,,,
180000,20160316,其他银行,其它,,,,,
1570000,20160316,平安银行,平安,,,,,
500000,20160316,中国建设银行,建行,,,,,
40000,20160316,中国民生银行,民生,,,,,
150000,20160316,中国银行,中行,,,,,
100000000,20160317,上海浦东发展银行,浦发,,,,,
1500000,20160317,中国银行,中行,,,,,
700000,20160317,中国工商银行,工行,,,,,
100000000,20160317,平安银行,平安,,,,,
500000,20160317,中国工商银行,工行,,,,,
400000,20160317,中国工商银行,工行,,,,,
50000,20160317,中国工商银行,工行,,,,,
120000,20160317,中国工商银行,工行,,,,,
1000000,20160317,招商银行,招商,,,,,
1000000,20160317,招商银行,招商,,,,,
619000,20160317,平安银行,平安,,,,,
5000000,20160317,中国建设银行,建行,,,,,
120000,20160318,平安银行,平安,,,,,
200000,20160318,中国建设银行,建行,,,,,
500000,20160318,招商银行,招商,,,,,
500000,20160318,招商银行,招商,,,,,
900000,20160318,中国建设银行,建行,,,,,
500000,20160318,中国建设银行,建行,,,,,
300000,20160318,中国光大银行,光大,,,,,
20000,20160319,华夏银行,华夏,,,,,
5010000,20160321,中国建设银行,建行,,,,,
3000000,20160321,兴业银行,兴业,,,,,
50000000,20160321,平安银行,平安,,,,,
400000,20160321,交通银行,交行,,,,,
3000000,20160321,其他银行,其它,,,,,
22000000,20160321,中国建设银行,建行,,,,,
518000,20160321,平安银行,平安,,,,,
500000,20160321,中国工商银行,工行,,,,,
2000000,20160321,中国民生银行,民生,,,,,
200000,20160321,中信银行,中信,,,,,
2176000,20160321,平安银行,平安,,,,,
3000000,20160321,中国民生银行,民生,,,,,
200000,20160321,招商银行,招商,,,,,
50000,20160322,中国工商银行,工行,,,,,
5000000,20160322,中国工商银行,工行,,,,,
4030000,20160322,平安银行,平安,,,,,
1500000,20160322,招商银行,招商,,,,,
95000000,20160322,中国工商银行,工行,,,,,
378576000,20160322,其他银行,其它,,,,,
270000000,20160322,其他银行,其它,,,,,
130000000,20160322,其他银行,其它,,,,,
9000000,20160322,中国民生银行,民生,,,,,
100000000,20160322,兴业银行,兴业,,,,,
2000000,20160322,中国民生银行,民生,,,,,
980000,20160322,中国银行,中行,,,,,
60000000,20160322,中国工商银行,工行,,,,,
800000,20160322,招商银行,招商,,,,,
100000,20160322,兴业银行,兴业,,,,,
40000,20160322,中国农业银行,农行,,,,,
1526000,20160322,平安银行,平安,,,,,
300000,20160322,招商银行,招商,,,,,
100000000,20160323,其他银行,其它,,,,,
200000000,20160323,中国工商银行,工行,,,,,
100000,20160323,中国建设银行,建行,,,,,
5000000,20160323,上海浦东发展银行,浦发,,,,,
100000,20160323,招商银行,招商,,,,,
2900000,20160323,招商银行,招商,,,,,
60000,20160323,交通银行,交行,,,,,
100000000,20160323,其他银行,其它,,,,,
4000000,20160323,中国建设银行,建行,,,,,
30000000,20160323,中国工商银行,工行,,,,,
3240000,20160323,其他银行,其它,,,,,
4500000,20160323,招商银行,招商,,,,,
1000000,20160323,中国建设银行,建行,,,,,
1000000,20160323,招商银行,招商,,,,,
30000000,20160323,中国建设银行,建行,,,,,
2000000,20160323,中国建设银行,建行,,,,,
3356000,20160323,平安银行,平安,,,,,
3000000,20160323,中国民生银行,民生,,,,,
100000,20160323,中国建设银行,建行,,,,,
300000,20160323,中国建设银行,建行,,,,,
200000,20160323,中信银行,中信,,,,,
50000000,20160323,招商银行,招商,,,,,
300000,20160323,其他银行,其它,,,,,
900000,20160323,招商银行,招商,,,,,
10000000,20160324,中国建设银行,建行,,,,,
10000000,20160324,中国建设银行,建行,,,,,
100000,20160324,中国工商银行,工行,,,,,
100000,20160324,其他银行,其它,,,,,
2000000,20160324,中国农业银行,农行,,,,,
5000000,20160324,中国民生银行,民生,,,,,
150000,20160324,招商银行,招商,,,,,
69500579.16,20160324,招商银行,招商,,,,,
760000,20160324,其他银行,其它,,,,,
400000000,20160324,中信银行,中信,,,,,
8950000,20160324,平安银行,平安,,,,,
120000000,20160324,平安银行,平安,,,,,
34000000,20160324,中国建设银行,建行,,,,,
2199000,20160324,平安银行,平安,,,,,
100000,20160324,中国工商银行,工行,,,,,
100000,20160324,中国工商银行,工行,,,,,
100000,20160324,中国工商银行,工行,,,,,
100000,20160324,中国工商银行,工行,,,,,
100000,20160324,中国工商银行,工行,,,,,
10000,20160324,华夏银行,华夏,,,,,
100000,20160324,其他银行,其它,,,,,
100,20160324,中国银行,中行,,,,,
500000,20160325,中国建设银行,建行,,,,,
63000000,20160325,中国工商银行,工行,,,,,
3000000,20160325,其他银行,其它,,,,,
700000,20160325,中国工商银行,工行,,,,,
100000,20160325,招商银行,招商,,,,,
80000000,20160325,平安银行,平安,,,,,
80000000,20160325,中国工商银行,工行,,,,,
15000,20160325,其他银行,其它,,,,,
6900,20160325,交通银行,交行,,,,,
1000000,20160328,招商银行,招商,,,,,
2000000,20160328,招商银行,招商,,,,,
90000000,20160328,中国工商银行,工行,,,,,
60000000,20160328,平安银行,平安,,,,,
100000,20160328,中国工商银行,工行,,,,,
100000,20160328,中国工商银行,工行,,,,,
180000,20160328,交通银行,交行,,,,,
5000000,20160328,中国工商银行,工行,,,,,
500000,20160328,中国工商银行,工行,,,,,
500000,20160328,中国建设银行,建行,,,,,
28000000,20160328,其他银行,其它,,,,,
500000,20160328,招商银行,招商,,,,,
500000,20160328,招商银行,招商,,,,,
500000,20160328,招商银行,招商,,,,,
500000,20160328,招商银行,招商,,,,,
500000,20160328,招商银行,招商,,,,,
500000,20160328,招商银行,招商,,,,,
500000,20160328,招商银行,招商,,,,,
500000,20160328,招商银行,招商,,,,,
2000000,20160328,招商银行,招商,,,,,
1000000,20160328,中国银行,中行,,,,,
100000,20160328,招商银行,招商,,,,,
15000000,20160328,上海浦东发展银行,浦发,,,,,
5000000,20160328,中国银行,中行,,,,,
250000,20160328,中信银行,中信,,,,,
200000,20160328,中国建设银行,建行,,,,,
950000,20160329,招商银行,招商,,,,,
280000,20160329,中国工商银行,工行,,,,,
50000000,20160329,中国工商银行,工行,,,,,
48000000,20160329,中国工商银行,工行,,,,,
820000,20160329,其他银行,其它,,,,,
10000000,20160329,中国工商银行,工行,,,,,
1000000,20160329,中国工商银行,工行,,,,,
100000000,20160329,其他银行,其它,,,,,
3000000,20160329,中国农业银行,农行,,,,,
45000,20160329,交通银行,交行,,,,,
40000000,20160329,中国光大银行,光大,,,,,
3358000,20160329,平安银行,平安,,,,,
35000000,20160329,其他银行,其它,,,,,
28000000,20160329,中国光大银行,光大,,,,,
1640000,20160329,平安银行,平安,,,,,
6000000,20160329,平安银行,平安,,,,,
9000000,20160329,招商银行,招商,,,,,
7000000,20160329,招商银行,招商,,,,,
4844736.84,20160329,其他银行,其它,,,,,
5000000,20160329,其他银行,其它,,,,,
5000000,20160329,其他银行,其它,,,,,
1000000,20160329,上海浦东发展银行,浦发,,,,,
350000,20160329,招商银行,招商,,,,,
800000,20160329,中国银行,中行,,,,,
5000000,20160330,中国民生银行,民生,,,,,
700000,20160330,上海浦东发展银行,浦发,,,,,
1000000,20160330,交通银行,交行,,,,,
6200000,20160330,招商银行,招商,,,,,
500000,20160330,中国工商银行,工行,,,,,
300000,20160330,中国工商银行,工行,,,,,
4300000,20160330,平安银行,平安,,,,,
85000000,20160330,中国光大银行,光大,,,,,
500000,20160330,中国工商银行,工行,,,,,
150000,20160330,中国工商银行,工行,,,,,
100000000,20160330,其他银行,其它,,,,,
12000000,20160330,中国建设银行,建行,,,,,
50000000,20160330,中国建设银行,建行,,,,,
15000000,20160330,中国光大银行,光大,,,,,
80000,20160330,其他银行,其它,,,,,
47000000,20160330,中国光大银行,光大,,,,,
400000,20160330,其他银行,其它,,,,,
100000,20160330,招商银行,招商,,,,,
230000,20160330,中国农业银行,农行,,,,,
900000000,20160330,中国工商银行,工行,,,,,
1000000,20160330,兴业银行,兴业,,,,,
10000,20160330,交通银行,交行,,,,,
787000,20160330,平安银行,平安,,,,,
700000,20160330,兴业银行,兴业,,,,,
1000000,20160330,中国建设银行,建行,,,,,
60000000,20160330,平安银行,平安,,,,,
100000,20160330,其他银行,其它,,,,,
50000000,20160330,招商银行,招商,,,,,
4900000,20160331,中国民生银行,民生,,,,,
1000000,20160331,中国银行,中行,,,,,
1000000,20160331,中国银行,中行,,,,,
1000000,20160331,中国银行,中行,,,,,
1300000,20160331,中国银行,中行,,,,,
23000000,20160331,平安银行,平安,,,,,
500000,20160331,其他银行,其它,,,,,
30000000,20160331,中国工商银行,工行,,,,,
300000,20160331,中国工商银行,工行,,,,,
800000000,20160331,中国工商银行,工行,,,,,
10000,20160331,交通银行,交行,,,,,
29900000,20160331,平安银行,平安,,,,,
50000000,20160331,平安银行,平安,,,,,
8000000,20160331,平安银行,平安,,,,,
10000000,20160331,平安银行,平安,,,,,
220000000,20160331,其他银行,其它,,,,,
1058000,20160331,平安银行,平安,,,,,
50000,20160331,其他银行,其它,,,,,
2600000,20160331,中国农业银行,农行,,,,,
100000,20160331,中国工商银行,工行,,,,,
100000,20160331,中国工商银行,工行,,,,,
400000,20160401,中国建设银行,建行,,,,,
300000,20160401,中国建设银行,建行,,,,,
12800000,20160401,中国建设银行,建行,,,,,
500000,20160401,中国银行,中行,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
50000,20160401,其他银行,其它,,,,,
1200000,20160401,交通银行,交行,,,,,
360000,20160401,中信银行,中信,,,,,
300000,20160401,中信银行,中信,,,,,
4000000,20160401,中国建设银行,建行,,,,,
1820000,20160401,中国工商银行,工行,,,,,
340000,20160401,中国农业银行,农行,,,,,
15000,20160401,中国银行,中行,,,,,
500000,20160404,中国工商银行,工行,,,,,
30007000,20160405,中国建设银行,建行,,,,,
50000000,20160405,招商银行,招商,,,,,
560000,20160405,招商银行,招商,,,,,
500000,20160405,招商银行,招商,,,,,
500000,20160405,招商银行,招商,,,,,
500000,20160405,招商银行,招商,,,,,
500000,20160405,招商银行,招商,,,,,
500000,20160405,招商银行,招商,,,,,
500000,20160405,招商银行,招商,,,,,
2500000,20160405,招商银行,招商,,,,,
173000,20160405,中国农业银行,农行,,,,,
170000,20160405,招商银行,招商,,,,,
5756800,20160405,平安银行,平安,,,,,
300000,20160405,中信银行,中信,,,,,
5000000,20160405,平安银行,平安,,,,,
7000000,20160406,中国建设银行,建行,,,,,
3000000,20160406,招商银行,招商,,,,,
8000000,20160406,中国工商银行,工行,,,,,
4000000,20160406,上海浦东发展银行,浦发,,,,,
70000,20160406,中国工商银行,工行,,,,,
2500000,20160406,兴业银行,兴业,,,,,
2500000,20160406,中国银行,中行,,,,,
500000,20160406,招商银行,招商,,,,,
500000,20160406,招商银行,招商,,,,,
12000000,20160406,中国工商银行,工行,,,,,
160000,20160406,招商银行,招商,,,,,
768000,20160406,平安银行,平安,,,,,
19000000,20160406,中国工商银行,工行,,,,,
300000000,20160406,平安银行,平安,,,,,
1300000,20160406,招商银行,招商,,,,,
1900000,20160407,中国工商银行,工行,,,,,
5000000,20160407,中国建设银行,建行,,,,,
50000,20160407,中国农业银行,农行,,,,,
100000,20160407,中国建设银行,建行,,,,,
200000,20160407,中国建设银行,建行,,,,,
100000000,20160407,其他银行,其它,,,,,
9000000,20160407,中国光大银行,光大,,,,,
400000,20160407,中国工商银行,工行,,,,,
120000000,20160407,中国工商银行,工行,,,,,
4000000,20160407,中国光大银行,光大,,,,,
300000,20160407,中国工商银行,工行,,,,,
300000,20160407,中国工商银行,工行,,,,,
38000000,20160407,兴业银行,兴业,,,,,
100000000,20160407,中国工商银行,工行,,,,,
2200000,20160407,招商银行,招商,,,,,
5000000,20160407,招商银行,招商,,,,,
2000000,20160407,上海浦东发展银行,浦发,,,,,
1,20160407,中国工商银行,工行,,,,,
6600000,20160408,招商银行,招商,,,,,
10000000,20160408,招商银行,招商,,,,,
100000,20160408,中国工商银行,工行,,,,,
16000000,20160408,平安银行,平安,,,,,
29000000,20160408,中国光大银行,光大,,,,,
90000000,20160408,交通银行,交行,,,,,
64000000,20160408,中国光大银行,光大,,,,,
20000000,20160408,招商银行,招商,,,,,
53000000,20160408,中国工商银行,工行,,,,,
